errors,checkpointing,redundancy,n,numtasks,writeCheckT,restartT,checkInterval,intervalGoal,globalInterval,totalTime
0, 0, 0, 2048, 4, 2, 2, 5, 100, 100, 2.740432
1, 1, 0, 2048, 4, 2, 2, 5, 100, 163, 4.550949
1, 1, 1, 2048, 4, 2, 2, 5, 100, 101, 5.523344
0, 1, 1, 2048, 4, 2, 2, 5, 100, 100, 5.484230
0, 0, 0, 2048, 8, 2, 2, 5, 100, 100, 1.443076
1, 1, 0, 2048, 8, 2, 2, 5, 100, 206, 3.108525
1, 1, 1, 2048, 8, 2, 2, 5, 100, 106, 3.107376
0, 1, 1, 2048, 8, 2, 2, 5, 100, 100, 2.926098
0, 0, 0, 2048, 16, 2, 2, 5, 100, 100, 0.722028
1, 1, 0, 2048, 16, 2, 2, 5, 100, 237, 1.891328
1, 1, 1, 2048, 16, 2, 2, 5, 100, 105, 1.563987
0, 1, 1, 2048, 16, 2, 2, 5, 100, 100, 1.488035
0, 0, 0, 2048, 24, 2, 2, 5, 100, 100, 0.947670
1, 1, 0, 2048, 24, 2, 2, 5, 100, 327, 3.613275
1, 1, 1, 2048, 24, 2, 2, 5, 100, 119, 2.284205
0, 1, 1, 2048, 24, 2, 2, 5, 100, 100, 1.945352
